Sr. No.,ProductTitle,Category,ProductSubCat,ProductWeight,based,Size 1,Size 2,Size 3,Size 4,Size 5,ProductWashability,ProductDurability,ProductShades,ProductCoverage,ProductFinish,ProductDryingTime,ProductDetails,One Liner,ProductFeature1,ProductFeature2,ProductFeature3,ProductFeature4,ProductFeature5,ProductFeature6,ProductPIS,ProductSurfacePreparation,ProductMixingthePaint,ProductApplyingthePaint,ProductCleanUp,ProductFinalTouches,ProductMaterials,ProductTips,Question 1,Question 2,Question 3,Question 4,Question 5,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Image,PIS,Product Page URL
48,Ace Sparc,Exterior,Economy,Liter,Water,1,4,10,20,,2 (Low Washable),0-2 Years,1000+,5-6 sq.m/Ltr,Soft Sheen,30 Minutes,"A water based acrylic binder exterior emulsion which is suitable for moderately humid climatic conditions. Ace Sparc's weather guard properties resist chalking, cracking, and weathering as opposed to distempers & cement paints. With this exterior paint, get plastic paint-like finish which lasts longer than distemper. ACE Sparc gives neat and clean shades that do not fade and last longer than cement paint shades. It is available in strong shades that provide excellent hiding. It is available in over 1000 attractive shades.",,Better Performance,Affordable,Weather Guard,,,,,,,,,,,,Is Ace Sparc paint washable?,What is the expected coverage per liter of Ace Sparc?,How many coats are recommended for Ace Sparc?,How long will Ace Sparc last after application?,What is the curing period of Ace Sparc when applied for new surfaces?,"Yes, Ace Sparc paint is a washable paint.","For typical masonry surfaces, applying Ace Sparc with a brush will yield an estimated coverage range of 10 to 12 square meters per liter for one coat, and 5 to 6 square meters per liter for two coats.","It is recommended to apply two brush coats of Ace Sparc to normal masonry surfaces, yielding an estimated coverage of 5 to 6 square meters per liter.","This paint finish is backed by a 2-year guarantee, assuring consistent shade and robust film integrity.","Ace Sparc does not require curing and therefore saves time, effort and money during application.",Yes,Yes,
49,Ace Sparc Colours,Exterior,Economy,Liter,Water,1,4,,,,2 (Low Washable),0-2 Years,1000+,5-6 sq.m/Ltr,Matt (G-20),30 Minutes,"Ace Sparc Colours is a water based acrylic binder exterior emulsion paint that comes in 7 unique directly applicable shades: Terracotta, Sunrise, Jolly Holly, Sporty Yellow, Lemon Souffle, Soothing Sapphire, and Signal Red. Unlike Distempers and Cement Paints, its weather guard properties resist chalking, cracking, and weathering, allowing it to last longer and achieve a plastic paint like finish across your walls. ACE Sparc lasts longer than cement paint and hence proves more economical in the long run. It also does not require curing and therefore saves time, effort and money during application.",,Better Performance,Affordable,6 Direct Shades,,,,,,,,,,,,Is Ace Sparc Colours paint washable?,What is the expected coverage per liter of Ace Sparc Colours?,How many coats are recommended for Ace Sparc Colours?,How long will Ace Sparc Colours last after application?,What is the curing period of Ace Sparc Colours when applied for new surfaces?,"Yes, Ace Sparc Colours is a washable paint.",Ace Sparc Colours offer an estimated coverage of 10-12 square meters per liter for one coat and 5-6 square meters per liter for two coats on smooth masonry when brushed.,Two coats of Ace Sparc Colours are recommended that give a coverage of 5-6 square meters per liter. This is an estimated coverage range for Ace Sparc Colours when applied to a normal masonry surface by brushing.,This paint finish offers a 2-year performance guarantee on shade fidelity and film integrity.,"Ace Sparc eliminates the need for curing, resulting in time, effort, and cost savings during application.",Yes,Yes,
50,Neo Bharat Latex Exterior Paint,Exterior,Economy,Kg,Water,2,5,10,20,,2 (Low Washable),0-2 Years,1000+,35 - 45 Sq.ft/Kg,Matt (G-20),30 Minutes,"NeoBharat Latex Exterior Paint is a unique value for money paint which provides excellent ease of application and color offering. It compliments primer and reinforces exterior paint look to deliver basic durability and appearance. It is the best in class affordable economical Exterior latex paint that can create beautiful exterior building. NeoBharat Exterior provides weather resistance backed by clean look against dust ingress and UV exposure amongst contemporary products in the same class. The latex technology makes it easier for painters to apply, provides better flow levelling and hence providing smooth finish.",,Latex Exterior Paint,Smooth Finish,Weather Resistance,Higher Coverage,3X Durability,,,,,,,,,,Is NeoBharat Latex Exterior Paint paint washable?,What is the expected coverage per liter of NeoBharat Latex Exterior Paint?,How many coats are recommended for NeoBharat Latex Exterior Paint?,How long will NeoBharat Latex Exterior Paint last after application?,What is the curing period of NeoBharat Latex Exterior Paint when applied for new surfaces?,"Yes, NeoBharat Latex Exterior Paint paint is a washable paint.","For typical masonry surfaces, applying NeoBharat Latex Exterior Paint with both brushing and foam rolling, two coats will give an estimated coverage of 35 to 45 square feet per kilogram","It is recommended that two coats of NeoBharat Latex Exterior Paint are applied to standard masonry surfaces with brushing and foam rolling, yielding an estimated coverage range of 35 to 45 square feet per kilogram.",This paint product offers no warranty.,"Approximately 30 minutes after application, the paint will feel dry to the touch, signifying it is no longer sticky. Nonetheless, this does not mean the paint has completely hardened.",Yes,Yes,
51,Apex Floor Guard,Exterior,Premium,Liter,Water,1,4,20,,,4 (Good Washable),4-6 Years,50+,30- 50 sq.ft/ltr,Soft Sheen,30 Minutes,Apex Floor Guard is a water-based crosslinking all-acrylic emulsion. It comes with exceptional durability that can be formulated into high-resistance coatings offering a wide array of performance properties that are tailored to suit application needs. Better abrasion resistance provides low wear and tear of the film. It provides an excellent adhesion to concrete substrate.,,Vibrant Finish,Excellent Adhesion,High Abrasion Resistance,,,,,,,,,,,,Is Apex Floor Guard paint washable?,What is the expected coverage per liter of Apex Floor Guard?,How many coats are recommended for Apex Floor Guard?,How long will Apex Floor Guard last after application?,What is the curing period of Apex Floor Guard when applied for new surfaces?,"Yes, Asian Paints Apex Floor Guard is a washable paint.",One coat applied by brush on smooth masonry gives a coverage of 30 to 50 square feet per liter.,One coat of Apex Floor Guard is recommended which will cover 30-50 square feet per liter. This is an estimated coverage range when applied to a smooth masonry surface by brushing.,"Apex Floor Guard offers exceptional durability and long-lasting performance, backed by a comprehensive 2-year warranty for film integrity on cemented paver blocks","The paint feels dry to the touch in 30 minutes, but it needs 6-8 hours to fully harden for recoating or handling.",Yes,Yes,
52,Apex Tile Guard Clear Matt,Exterior,Premium,Liter,Water,1,4,10,20,,4 (Good Washable),4-6 Years,Clear,4.5 - 5.5 sq.m/ltr,High Sheen,30 Minutes,"Apex Tile Guard is a water-based high-performance coating for roof tiles, Kerala bricks and non-porous baked clay tiles. It offers a brilliant sheen that makes your roof shine like never before. It is sure to stand the test of time, water pressure, dust, algae, fungus and any harsh weather. The Tile Guard film has better adhesion on tiles, crack bridging abilities and a tough film. Apex Tile Guard offers excellent sheen, giving your newly painted tiles a classy finish. The paint has water beading technology, which is like water on lotus leaves. This provides excellent water repellency.",,Adhesion,Lotus Effect,Long Lasting,Excellent Microbial Resistance,Sheen Finish,RESISTENCE TO DUST,,,,,,,,,Is Apex Tile Guard Clear Matt paint washable?,What is the expected coverage per liter of Apex Tile Guard Clear Matt?,How many coats are recommended for Apex Tile Guard Clear Matt?,How long will Apex Tile Guard Clear Matt last after application?,What is the curing period of Apex Tile Guard Clear Matt when applied for new surfaces?,"Yes, Asian Paints Apex Tile Guard Clear Matt is a washable paint.",You can expect 9-11 square meters per liter for one coat and 4.5-5.5 square meters per liter for two coats when applied to a normal masonry surface by brushing.,One coat of Apex Tile Guard Clear Matt will cover 9-11 square meters per liter and two coats will cover 4.5-5.5 square meters per liter. This is an estimated coverage range for Apex Tile Guard Clear Matt when applied to a normal masonry surface by brushing.,"Apex Tile Guard Clear Matt offers exceptional durability and long-lasting performance, backed by a comprehensive 5-year warranty which can be attributed to its best-in-class film integrity and sustained superior performance in field.","The paint typically becomes touch dry in about 30 minutes. For a hard dry, where the paint has reached a sufficient level of hardness for recoating or light handling, approximately 4 hours are needed.",Yes,Yes,
53,Apex Tile Guard,Exterior,Premium,Liter,Water,0.9,3.6,9,18,,4 (Good Washable),4-6 Years,48+,4.5 - 5.5 sq.m/ltr,High Sheen,30 Minutes,"Apex Tile Guard is a water-based high-performance coating for roof tiles, Kerala bricks and non-porous baked clay tiles. It offers a brilliant sheen that makes your roof shine like never before. It is sure to stand the test of time, water pressure, dust, algae, fungus and any harsh weather. The Tile Guard film has better adhesion on tiles, crack bridging abilities and a tough film. Apex Tile Guard offers excellent sheen, giving your newly painted tiles a classy finish. The paint has water beading technology, which is like water on lotus leaves. This provides excellent water repellency.",,Adhesion,Lotus Effect,Long Lasting,Excellent Microbial Resistance,Sheen Finish,RESISTENCE TO DUST,,,,,,,,,Is Apex Tile Guard paint washable?,What is the expected coverage per liter of Apex Tile Guard?,How many coats are recommended for Apex Tile Guard?,How long will Apex Tile Guard last after application?,What is the curing period of Apex Tile Guard when applied for new surfaces?,"Yes, Asian Paints Apex Tile Guard is a washable paint.","When applied to a normal masonry surface by brushing, you can expect 9-11 square meters per liter for one coat and 4.5-5.5 square meters per liter for two coats.",Two coats are recommended with an estimated coverage of 4.5-5.5 square meters per liter when applied to a normal masonry surface by brushing.,"Apex Tile Guard's 5-year warranty is a testament to its exceptional durability and lasting performance, due to its superior film integrity and consistently strong field performance.","Although the paint feels dry in half an hour, it takes approximately 4 hours for it to fully cure and become hard enough for recoating or light handling.",Yes,Yes,
54,Apex Shyne Dust Proof Advanced,Exterior,Premium,Liter,Water,1,4,10,20,,4 (Good Washable),4-6 Years,1900+,60 - 70 sq.ft./ltr,Soft Sheen,30 Minutes,"A premium, water-based exterior finish that provides excellent sheen to the walls. Apex Shyne Dust Proof has a new technology that resists dust from settling onto the walls. Its tailored silicone stitch technology provides protection to exterior walls against harsh climatic conditions and makes the walls algal resistant. Apex Shyne Advanced Dust Proof has been fortified with Dust Proof Technology which helps to keep your homes clean for a long time. Apex Shyne Advanced Dust Proof provides extremely good protection against alkali and UV degradation thus ensuring that the shade doesn’t. Apex Shyne Advanced Dust Proof provides excellent resistance to growth of algae and fungi on the walls. This prevents appearance of black spots on walls due to algal growth.",,Dust Proof Technology,Weather Guard,Excellent Microbial Resistance,Excellent Protection Against UV Attack,RESISTENCE TO DUST,,,,,,,,,,What is Apex Shyne Advanced Dustproof?,What is the coverage for Apex Shyne Advanced Dustproof?,What are the areas of application for Apex Shyne Advanced Dustproof?,What is the shelf-life of Apex Shyne Advanced Dustproof?,,"Asian Paints Apex Shyne Advanced Dustproof is a smooth acrylic finish from the Asian Paints exterior paints lineup, delivering dust-proof protection, UV resistance, and long-lasting durability for exterior walls.","Apex Shyne Advanced Dustproof paint provides a coverage of 60 - 70 sq.ft./ltr. However, the actual coverage may vary from this coverage due to factors such as the method and condition of the application surface roughness and porosity.","You can apply the Apex Shyne Advanced Dustproof paint on exterior walls. You can use these on horizontal surfaces like the top of windows, and ledges should be painted with coats of Apex for greater protection.",The shelf-life of Apex Shyne Advanced Dustproof is 3 years from the date of manufacture in original tightly closed containers away from direct sunlight and excessive heat.,,Yes,Yes,
55,Apex Shyne,Exterior,Premium,Liter,Water,1,4,10,20,,4 (Good Washable),4-6 Years,1900+,60 - 70 sq.ft./ltr,High Sheen,30 Minutes,"A premium, water-based exterior finish powered by Nano Block that provides excellent sheen to the walls. Apex Shyne Dust Proof has a new technology that resists dust from settling onto the walls. Its tailored silicone stitch technology provides protection to exterior walls against harsh climatic conditions and makes the walls algal resistant.",,Dust Proof Technology,Weather Guard,Excellent Microbial Resistance,Excellent Protection Against UV Attack,Low VOC,Anti Algal Technology,,,,,,,,,Is Apex Shyne Dust Proof paint washable?,What is the expected coverage per liter of Apex Shyne Dust Proof?,How many coats are recommended for Apex Shyne Dust Proof?,How long will Apex Shyne Dust Proof last after application?,What is the curing period of Apex Shyne Dust Proof when applied for new surfaces?,"Yes, Asian Paints Apex Shyne Dust Proof is a washable paint.",Two brush-applied coats on standard masonry surfaces will cover approximately 55-65 square feet per liter.,Two coats of Apex Shyne Dust Proof topcoat will cover between 55 and 65 square feet per liter. This is an estimated coverage range for Apex Shyne Dust Proof topcoat when applied to a normal masonry surface by brushing.,"Apex Shyne Dust Proof offers exceptional durability and long-lasting performance, backed by a comprehensive 6-year warranty which can be attributed to its best-in-class film integrity and sustained superior performance in field.","Though the surface is no longer sticky after 30 minutes, the paint requires around 4 hours to fully cure and achieve the hardness needed for recoating or light use.",Yes,Yes,
56,Apex Dust Proof Ultraa,Exterior,Premium,Liter,Water,1,4,10,20,,4 (Good Washable),4-6 Years,1900+,60 - 70 sq.ft./ltr,Soft Sheen,30 Minutes,"Asian Paints Dust Proof Ultraa provides a 10% higher coverage and ultra finish. It is a smooth, water-based, exterior wall finish. It spreads better, covers more and ensures lasting beauty. The Dust Proof Technology resists dust from settling onto the walls.",,Dust Proof Technology,Weather Guard,Lead Free,Excellent UV Protection,Low VOC,Anti Algal Technology,,,,,,,,,How is Apex Dust Proof Ultra different from regular exterior paints?,What is the price of Asian Paints Apex Dust Proof Ultra 1-litre pack?,Can Apex Dust Proof Ultraa prevent algae and fungal growth?,Can Asian Dust Proof paint be used in humid or rainy regions?,Is Asian Paints Apex Dust Proof Ultraa paint eco-friendly?,"Unlike traditional paints, Apex Dust Proof Ultraa combines Dust Proof Technology with advanced microbial resistance, ensuring cleaner walls and long-lasting shades.","The price of Asian Paints Apex Dust Proof Ultra 1-litre pack starts at ₹500. However, the exact price may vary depending on the retailer, location, and any ongoing discounts or offers. So, it’s always a good idea to check with your local supplier or online stores for the most accurate prices.","Yes, the superior anti-algal and microbial formula of Apex Dust Proof Ultraa effectively prevents algae and fungal growth, even in damp conditions.","Absolutely. Apex Dust Proof Ultraa is specifically designed for challenging tropical conditions, including high humidity and rainfall.","Yes, like all products from Asian Paints, Apex Dust Proof Ultraa contains no harmful heavy metals, ensuring safety for both your home and the environment.",Yes,Not Found,
57,Apex Advanced Dust Proof,Exterior,Premium,Liter,Water,1,4,10,20,,4 (Good Washable),4-6 Years,1900+,60 - 70 sq.ft./ltr,Soft Sheen,30 Minutes,"Weatherproofing is a must for exterior walls, and with Asian Paints Apex Advanced Dust Proof you can do just that. The dust proof technology resists dust from settling onto the walls. It is a smooth, water-based, modified acrylic exterior wall finish with improved anti-algal properties. Twin Power gives higher coverage and better hiding compared to other premium emulsions. Silicon boost gives it better durability. ",,Dust Proof Technology,Weather Guard,Excellent Microbial Resistance,Excellent Protection Against UV Attack,RESISTENCE TO DUST,Lead Free,,,,,,,,,Is Apex Advanced Dust Proof paint washable?,What is the expected coverage per liter of Apex Advanced Dust Proof?,How many coats are recommended for Apex Advanced Dust Proof?,How long will Apex Advanced Dust Proof last after application?,What is the curing period of Apex Advanced Dust Proof when applied for new surfaces?,"Yes, Asian Paints Apex Advanced Dust Proof is a washable paint.","When applied to a normal masonry surface by brushing, you can expect 55-65 square feet per liter when applying two coats of Advanced Dust Proof.",Two coats of Apex Advanced Dust Proof topcoat are recommended and will cover between 55 and 65 square feet per liter when applied to a normal masonry surface by brushing.,"Backed by a 6-year warranty, Apex Advanced Dust Proof delivers exceptional durability and long-term performance, a result of its top-tier film integrity and consistent field reliability.","While the paint feels dry to the touch in roughly 30 minutes, it requires about 4 hours to harden for recoating or handling fully.",Yes,Yes,
58,Apex Dust Proof,Exterior,Premium,Liter,Water,1,4,10,20,,4 (Good Washable),4-6 Years,2100+,60 - 70 sq.ft./ltr,Soft Sheen,30 Minutes,"A smooth, water-based exterior wall finish powered by Nano- Block that comes with a 6-year performance warranty. Its new dust proof technology resists dust from settling onto the walls. Apex Dust Proof Emulsion protects the walls from harsh weather conditions and algal attacks while retaining the integrity of the paint film. Apex Dust Proof provides excellent resistance to algal growth. This resists appearance of black spots on walls due to algal growth. Apex Dust Proof is specially formulated to withstand harsh environmental condition like rainfall, humidity and heat.",,Dust Proof Technology,Weather Guard,Excellent Anti-Fade,Advanced Anti-Algal,Low VOC,Lead Free,,,,,,,,,Is Apex Dust Proof Emulsion paint washable?,What is the expected coverage per liter of Apex Dust Proof Emulsion?,How many coats are recommended for Apex Dust Proof Emulsion?,How long will Apex Dust Proof Emulsion last after application?,What is the curing period of Apex Dust Proof Emulsion when applied for new surfaces?,"Yes, Asian Paints Apex Dust Proof Emulsion is a washable paint.","When applied to a normal masonry surface by brushing, you can expect 55-65 square feet per liter when applying two coats.",Two coats of Apex Dust Proof Emulsion finish will cover between 55 and 65 square feet per liter. This is an estimated coverage range for Apex Dust Proof Emulsion topcoat when applied to a normal masonry surface by brushing.,"Apex Dust Proof Emulsion's 6-year warranty is a result of its superior film integrity and consistently excellent performance in real-world conditions, ensuring exceptional durability.","While the paint feels dry to the touch in 30 minutes, it's not fully hardened. A complete cure, suitable for recoating or handling, takes about 4 hours.",Yes,Yes,
59,Apex Ultima Protek Duralife,Exterior,Luxury,Liter,Water,1,4,10,20,,5 (Highly Washable),8-10 Years,1700+,60 - 70 sq.ft./ltr,High Sheen,30 Minutes,"Ultra-durable high-tech exterior emulsion paint, Apex Ultima Protek Duralife is a nanotechnology based paint that promises to keep walls protected from dampness, cracks and colour fading. This lead free paint comes with long-lasting durability for the severest of climatic conditions. Apex Ultima Protek Duralife has a unique elastomeric PUD chemistry that creates a stretchable inner layer so the system can compensate for the expansions and contractions caused in the substrate with fluctuations of weather and temperature. Apex Ultima Protek Duralife System has excellent CO2 diffusion (carbonation) resistance & prevents the corrosion of rebar within the concrete matrix, leading to superior structural protection.",,STRUCTURAL PROTECTION,CRACK BRIDGING,SUPERIOR CLEANABILITY,Advanced PUD Formula,Environmentally Responsible,Low VOC,,,,,,,,,Is Apex Ultima Protek Duralife paint washable?,What is the expected coverage per liter of Apex Ultima Protek Duralife?,How many coats are recommended for Apex Ultima Protek Duralife?,How long will Apex Ultima Protek Duralife last after application?,What is the dilution ratio for Apex Ultima Protek Duralife?,"Yes, Apex Ultima Protek Duralife paint is washable. It is designed with a unique Dirt Pick Up Resistance (DPUR) property that ensures dust is not attracted to the paint. This makes it easy to clean the walls with just water and a mild detergent, if needed.","For the basecoat, two coats are recommended with an estimated coverage of 40 square feet per liter. If the surface is being repainted, only one coat of base coat is needed, still achieving approximately 40 square feet per liter. Moving to the topcoat, the recommendation is also for two coats, with a more expansive coverage estimate of 55 to 65 square feet per liter.","For a new surface, 2 coats of basecoat and then 2 coats of topcoat, for a total of 4 coats are recommended. For repainting, it would be 1 coat of basecoat and 2 coats of topcoat, for a total of 3 coats.","This paint product offers an outstanding 15-year guarantee, a testament to its superior formulation and unwavering quality. This extended durability underscores its ""Best in Class"" status, signifying that it outperforms competitors in terms of longevity and resilience.",The dilution ratio for Apex Ultima Protek Duralife depends on the application stage (base coat or topcoat) and whether it's a fresh coat or a repaint. Basecoat (Fresh Coat): 30% dilution with water (by volume) Basecoat (Repaint): No dilution required; apply directly Topcoat: 40% dilution with water (by volume),Yes,Yes,
60,Apex Ultima Protek Advanced,Exterior,Luxury,Liter,Water,1,4,10,20,,5 (Highly Washable),8-10 Years,2000+,60 - 70 sq.ft./ltr,High Sheen,30 Minutes,"Asian Paints Ultima Protek Advanced is the only Lamination Paint powered by Graphene. It’s an ultra-durable exterior paint that will help you bid farewell to dampness, algae, cracks, colour fading and fungus on walls. Apex Ultima Protek Advanced keeps walls looking vibrant even through the severe weather conditions – rain, dust, or harsh sun. This ultra-durable exterior paint, with Twin Power technology gives you 10% higher coverage & better hiding. With a balance of hydrophobicity and hydrophilicity, the paint film repels water and dust thus providing a fresh look after every monsoon for a long period of time. Apex Ultima Protek System has excellent CO2 diffusion (carbonation) resistance & prevents the corrosion of rebar within the concrete matrix, leading to superior structural protection. Apex Ultima Protek Advanced contains an advanced anti-algal formula which fights the formation of algae and keeps away ugly blackspots from your walls.",,DUST PICK-UP RESISTANCE,CRACK BRIDGING,Algae-Sheild Pro,Elastomeric Armlour,Lamination Guard Powered by Graphene,,,,,,,,,,What is Apex Ultima Protek Advanced?,What makes Apex Ultima Protek Advanced different from other paints?,How many shades are available?,Does it protect walls from cracks?,How does it protect against dampness?,Apex Ultima Protek Advanced is a high-performance exterior paint by Asian Paints. It uses graphene technology to provide long-lasting protection and a flawless finish to your walls.,"This paint stands out because of its graphene-powered formula, which gives your walls better durability, crack resistance, and advanced protection against algae and water damage.",Apex Ultima Protek Advanced is available in over 2000 shades from Asian Paints’ Colour Cosmos. You can pick the perfect colour to match your style.,"Yes. Apex Ultima Protek Advanced has an elastic crack-bridging ability of up to 2 mm, which seals gaps and prevents cracks from showing.","The paint has advanced waterproofing technology that keeps water and dampness away from your walls, even in heavy rain.",Yes,Yes,
61,Apex Ultima Protek,Exterior,Luxury,Liter,Water,1,4,10,20,,5 (Highly Washable),8-10 Years,2000+,60 - 70 sq.ft./ltr,High Sheen,30 Minutes,"Asian Paints Ultima Protek is the only Lamination Paint powered by Graphene. It’s an ultra-durable exterior paint that will help you bid farewell to dampness, algae, cracks, colour fading and fungus on walls. Apex Ultima Protek keeps walls looking vibrant even through the severe weather conditions – rain, dust, or harsh sun. This advanced exterior paint, powered by the wonder material – Graphene and equipped with Lamination Guard and Fiber technology, comes with a 12-years warranty. With a balance of hydrophobicity and hydrophilicity, the paint film repels water and dust thus providing a fresh look after every monsoon for a long period of time. The superlative waterproofing capabilities of the Apex Ultima Protek system forms an effective barrier against water penetration.",,Graphene Reinforced Technology,STRUCTURAL PROTECTION,Algae-Sheild Pro,Elastomeric Armlour,,,,,,,,,,,"Is there a warranty on Apex Ultima Protek? If yes, what does it cover?",What does Apex Ultima Protek consist of?,What are the basic conditions to get a warranty?,How long will it take to get the warranty certificate? Will a single warranty document be provided?,How do I register for the Apex Ultima Protek warranty?,"Apex Ultima Protek System is a high-performance painting system that offers a 12-year paint performance (colour retention & ﬁlm integrity) warranty and a unique 10-year waterprooﬁng and 10-year anti-algal warranty. The ﬁrst of its kind, the warranty covers product performance against not just fading, ﬂaking and peeling but also covers blisters, splits, tears and excessive weathering of the paint ﬁlm and prevents external water ingress through vertical walls.","Apex Ultima Protek consists of a top coat and base coat. The Base Coat has to be applied as an undercoat and cannot be tinted. Apex Ultima Protek top coat, applied over Apex Ultima Protek base coat can be tinted to achieve the desired shade. Usage of base coat provides you with waterproofing warranty. Application of Protek top coat can also be done over Exterior Primer but in that case only paint performance warranty will be provided.",The basic requirements to get a warranty include a purchase of atleast 40 litres of Ultima Protek topcoat and the respective basecoat/undercoat being used.,"Yes, the different warranty parameters will be covered in a single warranty document and it will take 15 days for the certificate to arrive.","The Apex Ultima Protek warranty registration process is very simple. A call has to be made on our Asian Paints Helpline 1800-209-5678 to register the warranty, or you can visit our website and fill in the required details. All information will be logged and then a warranty registration number will be provided for future reference.",Yes,Yes,
62,Apex Ultima Stretch,Exterior,Luxury,Liter,Water,1,4,10,20,,5 (Highly Washable),6-8 Years,1900+,60 - 70 sq.ft./ltr,High Sheen,30 Minutes,"Asian Paints Apex Ultima Stretch powered by PU Serum is a water-based, high-performance exterior emulsion developed with a unique elastomeric technology which allows it to cover hairline cracks, with a 8-year performance warranty. The Dirt Pick Up Resistance (DPUR) property of this exterior house paint fights dust from settling on the walls, helping them retain its beauty. Apex Ultima Stretch contains an advanced anti-algal formula which keeps away algal growth from your walls. Apex Ultima Stretch comes with a unique UV cross-linking technology which helps enhance its Dirt Pick Up Resistance (DPUR) property, thereby retaining its initial beauty for long.",,CRACK BRIDGING,Dust Proof,Algae-Sheild Pro,Ultimate Durability,DUST PICK-UP RESISTANCE,,,,,,,,,,Is Apex Ultima Stretch paint washable?,What is the expected coverage per liter of Apex Ultima Stretch?,How many coats are recommended for Apex Ultima Stretch?,How long will Apex Ultima Stretch last after application?,What is the dilution ratio for Apex Ultima Stretch?,"Yes, Apex Ultima Stretch finish is washable. It is a high-performance water based exterior wall paint with a unique stretchable film technology, which allows it to cover hairline cracks.","For the basecoat, the estimated coverage is 40 square feet per liter. However, if the surface is being repainted, only one coat of basecoat is necessary, still providing approximately 40 square feet of coverage per liter. Moving on to the topcoat, the coverage estimate increases, ranging from 55 to 65 square feet per liter, again assuming two coats are applied.",Two coats of Apex Ultima Stretch topcoat will cover between 55 and 65 square feet per liter. This is an estimated coverage range for Apex Ultima Stretch topcoat when applied to a normal masonry surface by brushing.,"Apex Ultima Stretch offers exceptional durability and long-lasting performance, backed by a comprehensive 8-year warranty. This advanced formulation ensures that your walls are not only beautifully coated but also protected from the elements for an extended period.","The following dilution ratios for Apex Ultima Stretch: Primer (Trucare Exterior Wall Primer, 0065): Brush: 90-110% with water Roller: 90-110% with water Spray: 40-45% with water Apex Ultima Stretch (First and Second Coats, 6789): 40% dilution with water (by volume)",Yes,Yes,
63,Apex Ultima,Exterior,Luxury,Liter,Water,0.2,1,4,10,20,4 (Good Washable),6-8 Years,2100+,60 - 70 sq.ft./ltr,High Sheen,30 Minutes,"Asian Paints Apex Ultima Weatherproof Exterior Emulsion is a high-performance water-based, 100% Acrylic smooth emulsion powered by PU Serum. Apex Ultima helps to kill the growth of algae and fungus and retain the initial beauty of your walls. The Dirt Pick Up Resistance (DPUR) property of this exterior house paint fights dust from settling on the walls, helping them retain its beauty. Apex Ultima uses specially formulated high-performance colour pigments and binder technology, which offers excellent resistance to ultraviolet radiation. This ensures brighter, cleaner shades that will not fade, and your home continues to look beautiful over time. ",,Colour Stay Pro,Dust Proof,Algae-Sheild Pro,Ultimate Durability,Ultimate Sheen,,,,,,,,,,Is Apex Ultima paint washable?,What is the expected coverage per liter of Apex Ultima?,How many coats are recommended for Apex Ultima?,How long will Apex Ultima last after application?,What is the dilution ratio for Apex Ultima?,"Yes, Asian Paints Apex Ultima Weatherproof Exterior Emulsion is a high-performance water-based, 100% Acrylic smooth emulsion powered by PU Serum.",Two brush-applied coats will cover 55-65 square feet per liter on an average masonry surface.,"For normal masonry, two brushed coats of Apex Ultima topcoat provide an estimated coverage of 55-65 square feet per liter.","With an 8-year warranty, Apex Ultima delivers superior durability and lasting performance, shielding your walls from weather while enhancing their appearance.","The following dilution ratios for Apex Ultima: Primer (Trucare Exterior Wall Primer, 0065): Brush: 90-110% with water Roller: 90-110% with water Spray: 40-45% with water Apex Ultima Finish (First and Second Coats, 0068): 40% dilution with water (by volume)",Yes,Yes,
64,Apex Ezytex,Exterior,Texture,Kg,Water,25,,,,,3 (Medium Washable),4-6 Years,1500+,2.5 - 3 sq. ft/kg,Matt (G-20),30-60 Minutes,"Modified acrylic, dolomite based product that can used to give a wide range of innovative trowel based patterns for interior and exterior wall surfaces. It hides surface undulations and fine cracks. The tough texture finish lasts for long and ensures low maintenance.It increases the life of plaster by protecting it from wind driven rain. It resists fungal and algal growth when applied as system, with the recommended top coat. ",,HIDES FINE CRACKS,UNIQUE DESIGNS,ALL WEATHER DURABILITY,Plaster Protection,Anti-algal Formula,Tough Textured,,,,,,,,,Is Apex Ezytex washable?,What is the expected coverage per Kg of Apex Ezytex?,How many coats are recommended for Apex Ezytex?,How long will Apex Ezytex last after application?,What is the dilution ratio for Apex Ezytex?,"Asian Paints Apex Ezytex can be washed and cleaned at regular intervals of six months to keep it clean and prevent algal and fungal growth, if any.",The expected coverage for Asian Paints Apex Ezytex on a normal masonry surface by a trowel or spatula to obtain an even coating of 2 m for 1 COAT is 2.5 - 3 sq. ft/kg.,You are recommended to apply 1 coat of Asian Paints Apex Ezytex.,"The Asian Paints Apex Ezytex will last long enough to give your home exteriors the required durability. The product not only helps you create perfect textured exterior walls but also hides fine cracks, creates a layer of plaster protection, and, with its anti-algal properties, is a barrier to algal growth.",The dilution ratio of Asian Paints Apex Ezytex is 2-4% with water by weight.,Yes,Yes,
